temperature,DO,pH,conductivity,BOD
26.9,6.8,7.7,85,5
23,7.1,7.4,176,2.7
23,7,7.4,178,2.7
23,7.2,7.2,180,2.7
25.1,6.7,7.5,85,1.4
24.6,5.8,7.4,77,1.4
25.7,6.6,7.5,75,1.4
24.8,6.7,7.5,82,1.4
27.3,6.7,6.9,56,0.9
27.5,6.5,6.7,2240,1.2
25.2,6.3,6.9,73,1.6
29.9,7,7.4,130,0.7
29.8,6.6,7.7,191,1.6
27.8,6.9,6.9,134,1.1
26.7,7,7.5,80,0.8
25.8,6.7,7.4,14526,0.8
26.4,7.2,7.4,82,0.7
29.8,7.5,7.2,67,1.1
28.6,3,6.6,965,1.7
26.9,5.9,7.4,17990,0.7
26,6.7,7.5,90,1.6
23.6,6.1,7.4,4429,2
30.3,6.7,6.9,87,1.7
30.7,6.9,6.8,85,1.6
28.7,2.1,6.8,101,1.6
28.2,2.5,6.9,83,1.9
24.8,7.2,7.6,75,1.4
26.3,3.7,7.7,32005,1.2
29.2,6.1,7.6,281,1.2
26.6,6.7,7.6,106,0.5
30.4,7.6,7.1,58,1.2
25.5,1.9,7.7,2941,26.9
25.1,7.4,7,35,0.1
28.9,6.4,7.2,63,1.3
28.8,5.4,6.7,65,1.1
29.3,5.6,7.3,90,1.6
29.5,7.1,8,728,1.2
28.4,5.9,6.8,13953,1.5
26.9,7.4,6.9,57,1.1
25.8,7.2,7.2,41,0.7
26.6,6.5,7.4,71,0.6
25.3,6.8,7.1,81,0.8
28.2,6.8,6.9,68,1.7
28.5,6.6,7,70,1.4
27.6,6.4,7.7,100,0.6
29,7.3,6.9,96,1.9
27.5,6.8,6.6,49,0.5
30,5.6,7.2,24360,2.1
27.8,6.9,6.8,59,0.6
30.2,7.1,6.8,14410,1.8
30.8,6.2,7.2,22757,1.5
25.3,6.7,7.1,66,0.6
25.3,7.2,7,59,0.6
25.8,6,7.6,120,1.3
27.2,5.2,6.8,55,0.6
28.1,4.8,6.8,86,0.7
28.3,3.9,6.9,62,0.5
28.1,5,6.9,3185,1.8
27.7,7,7,36,1.1
28,6.3,6.9,64,1.2
28.2,6.2,6.9,86,1.3
28,5.7,6.8,2640,1.9
28.1,5.7,6.9,53,3.1
28.1,6.6,7.1,2007,1.3
28.1,6.6,7,46,1.3
27.3,6.5,6.5,43,0.9
28.3,6.7,6.3,54,0.9
29.1,4.3,7.2,113,1.8
28.7,4.6,6.7,12561,1.5
28.5,7.7,6.9,61,1.6
26.6,5.8,6.5,61,1
31,4.5,6.9,1614,2.1
30.5,6.9,7.2,20950,1.3
28.8,6.6,7,14487,0.9
25.3,6.9,7.5,54,0.6
25.9,5.5,7.6,569,1.3
26.5,5.4,7.8,310,0.8
18.9,7.1,7.8,516,0.7
20.5,6.9,8,505,0.9
27.1,7.3,7.3,109,2.4
26.3,7.5,7.5,83,2.1
29.1,6.4,7.2,102,1
28.4,6.5,7.1,92,1
24.7,7.7,7.9,232,1.3
24.4,7.5,7.8,519,2.1
22.7,7.3,7.2,103,0.7
24.8,7.4,7.9,196,0.7
24,7.4,7.8,244,1.9
22.8,7.5,8,243,1.7
26.8,7.2,8,296,1.5
27.4,6.6,7.8,25034,1.5
25.3,7.5,7.9,194,1
27.1,7.4,7.9,170,0.8
29,NAN,7.3,386,NAN
25,5.9,7.9,21600,NAN
25,6.5,7.3,21600,NAN
25,6.5,7.7,26600,NAN
32,6,7.1,13000,NAN
29.3,6.5,7.4,1063,2
22.8,6.8,6.6,63,2.9
24.5,6.6,6.4,101,2.5
25.5,6.6,6.5,136,2.5
29,6.7,6.9,226,2.2
23.8,6.7,6.3,72,2.7
22.8,6.7,6.4,61,4.6
29,6.6,7.2,1300,2.7
29,6.7,7,461,2.5
23,6.6,6.2,69,2.5
29,6.8,6.9,241,2.5
25.7,6.5,6.6,159,2.4
25.7,6.6,6.7,170,2.5
24.3,0.9,7.6,2039,104.5
NAN,NAN,NAN,NAN,NAN
22.7,5.8,7.2,640,6
19,4.8,7.6,1090,22
23,5.5,7.3,705,10
24,5.1,7.4,1375,23.7
24.7,5.5,7.4,745,10
25,5,7.6,975,16.3
22,4.9,7.7,1385,27.5
24.3,5,7.3,1067,19.3
23.3,5.3,7.2,970,13.3
19.5,4.9,7.7,1418,21
21.5,4.1,7.5,1015,23
20,4.8,7.4,854,17
NAN,NAN,8.2,NAN,19.8
NAN,NAN,7.9,NAN,18.2
32.6,4,6.8,370,3
23.6,7.8,7.8,376,1.3
23.9,7.7,7.7,354,1.3
24.5,7.6,7.9,344,1.6
NAN,NAN,7.2,NAN,88
18.1,4.4,7.1,694,41
25.1,5.9,8,401,0.9
22.3,6,7.2,106,0.8
23.7,5.6,7.9,326,1.1
23.9,6.2,8.1,592,1
25.5,7.2,7.5,119,2.3
25.1,7.2,7.5,120,2.3
25.2,7.5,7.3,82,1.8
23.2,7.5,7.5,111,2.4
20.1,5.3,3.3,831,7.7
18.3,7.2,7.2,56,1.7
19.3,7.5,7.2,66,1.6
24,7.8,7,74,2.3
20.5,6.7,2.7,1350,3.3
21.2,7.3,6.6,274,2.5
26.3,7.4,7.3,67,1.8
25.5,7.2,7.4,82,2
20,7.3,7.1,55,1.9
20.3,7.3,7.1,57,2
19.4,6.6,7.1,114,2.6
21,7.3,5.6,56,1.8
19.2,5.1,7,105,3.6
18.3,7.3,7.1,51,1.6
19.6,7.7,7.2,50,1.6
23.7,7.6,7.3,115,2.1
18.2,6.2,7,81,2.4
18.8,7.2,7.1,66,1.9
18.9,7.4,7.1,57,1.5
25.1,7.5,7.4,144,1.7
18.8,7.1,7.1,63,1.9
20.2,7.3,7.2,65,1.9
20,7.3,7.3,65,2
18.5,1.5,6.9,345,33.9
18.8,3.9,7.1,233,17
18.3,1,7.2,376,57.2
18.5,0.9,7.2,506,61.1
18.2,7.2,7,66,1.9
22.1,7.7,7.2,62,1.6
17.6,7.3,6.9,61,2.2
18.7,1.2,7.1,380,45.7
18.7,3.2,7.1,258,23.5
23.1,7.2,7.2,124,6.9
22.6,7.2,7.1,65,2.1
20,7.5,7.3,64,1.9
19.9,7.6,7.3,65,1.9
24.5,7.1,7.3,269,1.4
24.4,7.2,7.3,275,1.5
23.6,6.9,7.1,186,1.6
23.5,6.8,7.1,201,1.4
27.3,6.2,7.8,165,2.1
29.1,6.4,7.8,158,4.1
26.6,6.6,7.9,210,4.2
NAN,NAN,0,208,NAN
27.1,7.3,7.9,693,0.5
27.3,5,7.6,1676,1.8
NAN,NAN,0,506,NAN
24.5,6,7.7,1863,8.6
NAN,NAN,NAN,24300,NAN
27.5,5.3,7.8,817,2.8
28.3,4.3,7.8,2307,103.8
28.4,4.5,8.3,1287,1.5
NAN,NAN,NAN,NAN,NAN
27.6,6.8,8.2,1862,2.5
NAN,5,8,NAN,0.7
NAN,3,7.7,NAN,0.4
27,6.7,8.1,2520,7.2
29,8.2,8.4,606,2.9
NAN,NAN,NAN,NAN,NAN
30,5.6,7.5,41,2
30.4,5.5,6.7,209,0.8
30.8,5.5,7.1,123,1.5
30.3,5.3,7.3,182,1.5
30.1,6,7.6,100,1.2
29.9,5.7,6.9,111,1
29.1,6.4,7.1,140,1.1
29.9,6.2,7.8,44,2
29.8,6.1,7.6,43,1.8
27.9,7,6.9,64,1.1
28.2,6.6,6.5,62,1
29.6,7,6.8,304,2
28.8,7,7,55,1.2
29.5,6.3,7.6,213,1.5
29.8,6.7,6.8,83,1.2
29.7,7.1,6.6,76,1
28.7,6.7,6.6,107,1.3
27.9,7.2,6.7,89,0.9
29.3,4.2,6.7,192,2
28.6,6.3,6.6,79,1.6
29.8,5.6,7.7,142,1.7
28.6,2.8,6.4,424,3.2
30.6,5.2,7.1,306,2.6
30.3,5.6,7.7,40,1.5
30.4,5.5,7.7,40,1.5
29.6,6.9,6.7,63,0.9
29.6,6.3,7.6,227,1.7
29.5,7.1,6.6,68,1.1
26.7,6.9,7.7,121,3.3
29.3,7.2,8.2,112,3.3
28,6.9,7.7,103,3.7
28.2,6.9,7.6,104,3.5
26.5,6.4,7.4,1003,4.3
20.7,6.3,8.3,408,2.7
27.2,6.7,7.8,105,3.6
27.5,6.3,7.6,209,4.4
26,5.9,7.6,13768,5
26.5,7.3,7.7,86,3.2
27,3.6,7.4,6487,30.5
27.3,6.3,8.3,999,3.3
28.7,7.2,7.7,125,3.3
28.4,7.1,7.5,127,3.4
28.7,7.1,7.4,5300,38
28.7,7.2,7.6,127,3.2
28.7,7,7.6,126,3.3
28.7,7.2,7.6,126,3.4
28.7,7.1,7.8,112,3.2
29.3,6.8,7.7,9590,3.6
28.3,6.8,7.4,174,3.7
28.7,6.8,7.6,2572,3.3
29.2,6.7,7.8,6030,4.4
28.7,6.8,7.7,7207,3.9
27.2,6.8,8.1,167,3.8
27.2,6.8,8,173,3.5
27.2,7,8,168,3.6
28,6.9,7.9,131,3.5
26.2,7,7.6,125,3.5
26.2,7.2,7.5,132,3.3
28.2,7.2,7.7,119,3.3
24.5,6.9,7.5,159,2.8
24.5,6.7,7.7,141,3.3
24.5,7.3,7.7,132,2.9
24,6.4,7.3,76,1.7
24.9,6,7.1,85,1.7
24.3,6.3,7.1,69,1.3
24.8,6.5,7.3,76,1.6
26.4,6.7,6.6,60,1.2
27,7,6.6,3544,1.5
26.6,6.7,7.3,51,0.8
28.6,6.9,7.7,107,0.7
28.8,6.7,7.9,173,0.9
28,5.6,6.9,126,1.2
27.4,7.3,7.4,70,0.8
27.5,6.9,7.4,12754,0.8
26.8,7.1,7.4,80,0.6
30,7.2,6.9,62,1.3
28.8,3.4,6.7,2965,2.3
27.4,6.1,7.2,15871,0.9
24.8,6.4,7.2,120,1.9
23.6,6.2,7.2,7448,2
29.8,6.6,6.9,77,1.6
30.2,6.8,7,72,1.7
28.2,2.9,6.7,305,2.2
27.7,3,6.6,86,2
23.9,6.7,7.1,79,1.6
27.4,3.6,7.3,32790,2.6
27.8,6.1,7.8,2905,1.3
26.4,6.9,7.4,112,0.5
29.6,7,6.9,51,1.1
27,3.1,7.2,1416,13.2
26.3,7,7.1,30,0.5
30,6.1,7,59,1.8
28,6,6.4,61,2.1
30.1,6.3,7,105,2.8
27.9,6.9,8.1,502,0.9
27,5.9,6.7,14662,1.5
26,7.8,6.8,49,1.4
27.7,7.1,7.4,380,1
27.1,7.3,7.2,67,0.9
26.5,6.2,7.2,51,0.8
28.5,7.2,6.8,69,1.2
28.7,6.9,6.7,75,2.5
25.7,6.3,7.4,113,0.6
29.3,7.6,6.8,79,1.6
27,7,7.2,57,0.6
30.9,5.9,7,22576,1.5
27.1,6.8,7.2,105,0.6
30.3,6.3,6.7,2315,1.3
30.4,6.4,6.9,18569,1
26.2,6.6,7.3,45,0.6
26.2,6.9,7.2,42,0.5
25.1,6,7.3,92,1.7
27.4,6.1,7.2,59,0.7
28.1,4.5,6.9,1190,0.7
28.3,4.2,7,69,0.6
28.2,6,7,5569,2.2
27.2,7.3,7,34,1
27.4,6.3,7,44,1.6
28.2,6.4,7.2,49,1.4
27.9,5.9,7,3272,2.2
27.3,4.6,7,65,1.7
28.2,6.5,6.9,4650,2
28.2,6.5,7,42,1.4
26.7,6.4,6.4,45,1.2
28,6,6.1,56,1.2
29.7,5.3,6.8,99,2.8
28.2,3.6,6.5,22131,1.8
28.9,6.9,6.7,66,1.8
26.4,6,6.6,67,1.5
30,4.9,6.8,9107,1.6
30.8,6.3,7,18931,1.4
27.8,6.6,6.8,15525,1.1
26.7,7.1,7.5,46,0.8
27,6,7.3,432,1.2
26.8,6.1,7.7,328,1.2
19,5.8,7.8,707,0.6
21.4,6.1,8,674,0.9
27.1,7.3,7.3,164,2.3
26.3,7.6,7.4,122,2.4
28.3,6.5,7.1,95,1
27.9,6.5,7.1,56,1
23.4,7.5,7.8,237,1.4
23.5,7.6,7.6,3688,2.3
22.4,7.3,7.5,82,1.2
26.8,7.5,8,202,1.4
26.5,7.3,7.9,232,2.9
22,7.4,7.9,246,2.3
27.6,6.9,8.1,3960,2
26.8,7,8,28222,1.8
25.6,7.2,7.8,201,1.3
26.5,7.3,8,221,1.2
24,NAN,7.8,NAN,1
28,8,7.7,401,NAN
28,8,8.2,1886,4
28,7,8.2,742,5
27,7,6.4,149,4
27.8,6.7,7.5,1088,1.7
23.4,7.2,6.5,73,3.1
25.4,6.7,6.3,98,3.3
26.3,6.3,6.5,143,4
29,6.6,6.9,260,5.4
24.6,7.1,6.3,71,3.5
23.5,6.9,6.3,65,3.5
29,7.3,7.1,607,3.6
27,6.1,7,446,5.2
24,6.9,6.4,94,3.2
28.7,6.8,6.8,451,9.4
26.3,6,6.6,169,3.9
25.7,6.5,6.7,187,3.3
26.8,3.4,7.8,2577,164.9
NAN,NAN,NAN,NAN,NAN
23.3,5.5,7.2,636,9.7
22.8,4.7,7.3,1088,23.8
23.3,5.3,7.2,689,11.3
21.8,4.9,7.3,1267,23.5
24.3,5.3,7.4,852,13
23.5,4.9,7.5,977,16.5
24,4.4,7.4,1256,24.8
23.5,4.8,7.2,1021,20.3
23.3,5.1,7.3,971,14.8
22.5,4.6,7.4,1284,24.3
26,4,7.4,1096,26
25.8,4.4,7.3,1002,21.5
NAN,NAN,6.9,910,13
NAN,NAN,6.5,930,15
NAN,5,7.3,NAN,33.9
NAN,NAN,6.7,960,18
30.7,4.8,7.6,295,0.8
20.3,7.1,7.5,293,1.3
20.7,7.1,7.5,316,1.4
20.8,6.6,7.5,274,1.6
20.6,4.9,7.4,407,16.3
28,4.9,8.3,603,1
23.4,5.5,7.4,138,0.8
25.3,5.5,8.1,625,1.1
31.1,5,7.3,305,1.7
26.3,5.6,8.1,552,1.1
22,7.3,7.3,402,2.1
24.4,7.2,7.3,99,2.2
23.7,7.2,7.4,102,2.2
24.6,7.6,7.2,72,1.8
23.1,7.1,7.5,131,2.2
21.7,5.2,2.9,682,7.8
18.2,7.3,7.1,47,1.3
18.8,7.6,7.2,52,1.2
23.8,8,6.9,64,1.8
17.8,7.9,7.3,46,1.4
18.7,7.4,7.2,53,1.9
18.8,7.7,7.2,55,1.6
21.3,6.8,2.7,1074,3.2
22.6,7.1,6.5,237,3.8
25.2,7.8,7.2,50,1.6
24.8,7.3,7.3,71,2
19.9,7.3,7,91,1.8
20.7,7.4,7.1,49,1.7
20.6,6.5,7.1,99,2.7
21.5,7.5,5.7,50,1.5
17.7,5.8,6.9,68,3.1
17.9,6.9,7.2,44,1.4
23.9,7.8,7.3,93,1.9
18,6.6,7,66,2.3
18.4,7.6,7.1,53,1.7
18.8,7.8,7,47,1.4
24.8,7.7,7.4,128,1.6
19.3,7.1,7,54,1.8
20.6,7.4,7,69,1.6
20.7,7.5,7.2,58,1.6
18.4,3.1,7.2,401,21.8
19.1,4.7,7.2,202,13.6
19.7,2.1,7.2,303,37.2
20.1,1.8,7.2,394,40.6
17.6,7.2,6.9,55,1.7
22.7,7.9,7.1,55,1.2
17.9,6.9,6.9,52,2.2
18.9,1.9,7,306,34.2
19.4,4.5,7.1,196,15.5
23.7,7.2,7.1,107,6.7
22.7,7.5,7,82,2.1
23.6,7.1,7.5,189,1.9
23.8,7,7.6,197,1.8
23.5,7.2,7.9,158,1.9
23.5,6.5,7.8,161,1.8
27.4,6.6,7.7,165,1.7
21.9,6.7,7.8,167,4.8
27.5,6.6,7.7,183,3.7
31,7.1,7.8,151,8
28,7.2,7.4,319,0.7
27,6.2,8.4,894,9
30,2.2,8,1835,17.9
31,2,7.7,3165,32.3
29,2.4,7.6,1500,6.2
31,5.9,7.2,52,2.1
30,6.1,6.8,408,1.3
30,5.5,6.9,143,1.3
29,5.4,7.2,60,1.5
29,5.8,7.2,34,5.3
29,5.9,6.7,125,1.5
28,6.4,6.7,175,1.3
30,6.2,7.7,39,1.3
30,6.1,7.8,39,1.5
27,7.3,6.9,61,0.7
28,6.8,6.6,71,1.5
29,7.4,6.5,129,2.3
28,7,6.8,503,1.6
29,6.3,7.5,31,1.6
29,7.1,6.8,70,0.8
30,7.3,6.8,69,1.2
28,6.7,6.6,118,1
28,7.4,6.8,80,1.3
29,4.5,6.6,250,2.4
28,6.1,6.9,74,1.8
30,5.9,7.3,44,1.6
30,2.4,6.5,195,4.8
31,4,6.8,207,1.8
29,5.4,7.6,40,1.6
30,5.3,7.6,41,1.4
29,7,6.9,54,0.8
29,5.9,7.7,44,2.1
29,7.1,6.5,60,1.7
29,6.9,7.7,99,3.3
30,6.6,7.9,123,3.2
27,6.6,7.7,220,3.6
27,6.8,7.7,219,3.4
27,4.8,7.2,5429,8.4
23,6.4,8,493,4.2
29,6.8,7.6,100,3
29,6.7,7.5,316,4.6
28,5.8,7.9,37227,9.5
29,6.9,7.7,84,3.1
25,4.9,7.6,21254,55.5
28,6.9,7.9,312,2.7
29,6.8,7.5,146,3
29,6.7,7.3,127,2.9
29,5.6,6.9,432,4.5
29,6.5,7.3,126,3
30,7.1,7.5,128,3
30,6.4,7.3,129,3.1
29,6.9,7.7,129,2.9
25,7,7.9,153,2.9
30,6.4,7.6,10165,3.7
30,6.9,7.7,307,2.8
31,6.3,7.7,322,3.5
30,6.5,7.5,5835,3.4
30,6.3,7.4,9245,4.7
28,6.5,8.1,1907,4
28,7,8,1896,3.5
28,7,8,206,2.9
27,6.8,7.8,239,3.3
27,6.4,7.6,152,3.2
26,6.7,7.7,146,3
27,6.7,7.6,137,2.9
28,6.6,7.8,228,3.5
23,7,7.7,409,2.4
22,6.8,7.6,263,2.9
23,6.9,7.5,338,2.3
26,7,7.2,79,0.8
26,6.6,7,67,1.1
26,6.6,7.3,59,0.7
26,6.2,7.3,66,0.8
26,7.1,7,67,1
26,7,6.7,5341,1.1
29,6.7,7.3,89,1.1
28,6.2,7.3,136,1
28,7.1,8.1,212,0.9
29,6.3,6.3,134,1.2
26,7.3,7.2,76,0.6
26,7,7.3,11041,0.9
28,6.8,7.1,75,0.8
29,7.4,7.2,61,0.7
28,1.7,6.6,769,3.4
26,6.1,7.5,14083,1.4
26,6.6,7.2,92,0.8
25,6.6,7.2,1348,0.8
29,6,6.7,95,1.2
29,6.6,6.8,78,1
28,0.6,6.7,268,4.1
27,1.8,6.6,82,2
25,7.1,7.2,61,1
26,3.9,7.6,30298,2.5
27,6.6,8,310,1.1
27,7,7.1,97,0.8
29,7.3,7,51,0.7
29,0.5,7.1,1717,21.2
29,7,7.4,55,0.9
29,6.1,6.8,67,1.1
27,7,6.7,61,1.3
30,5.2,6.9,81,1.5
27,6.1,8,510,1.1
27,6.5,6.9,12150,1.8
25,7.9,7.2,50,1.1
25,7.5,6.9,34,0.9
26,7,7.4,72,1
29,7.3,7.3,99,0.9
27,7.5,6.9,125,1.6
27,6.8,6.9,116,1.7
27,5.8,7.3,107,0.9
28,7.1,7.2,85,0.8
26,6.8,7.1,58,0.7
29,5.7,7.3,13197,1.5
27,6.7,7.1,58,1.2
28,7,6.9,3453,0.9
29,6.5,7,14369,1.3
28,6.6,7.3,70,1.4
29,7,7.3,60,0.8
26,6.3,7.2,97,0.8
28,6,7,63,1.1
28,4.4,7.1,113,1.5
28,4.5,7.2,79,1
28,5.1,6.9,1789,2.1
27,7.5,7.2,36,1.1
28,6.8,7,59,1.3
28,6.8,6.9,114,1.4
28,5.9,6.8,1108,2.2
28,4.9,6.7,88,2.2
28,6.8,6.9,1686,1.4
28,7.1,6.9,45,1.2
26,6.9,6.6,56,1.1
28,6.5,6.3,49,1
29,4.9,6.6,169,2.1
28,4.2,6.5,19575,1.4
28,6.9,7.1,63,0.9
26,6.6,6.7,69,0.8
29,4.5,6.6,6381,2.1
29,6.2,7.2,9326,1.3
27,6.6,7.1,15158,1.1
29,6.3,7.3,74,1.2
27,6,7.6,429,1.1
27,6,7.8,308,1.1
20,5.8,7.4,505,0.6
24,6.1,7.5,465,0.5
28,6.4,7.1,183,2.3
27,7.1,7.4,135,1.9
32,6.7,7.2,103,1
30,6.8,7.1,106,1
22,7.8,7.9,213,1.5
22,7.7,8.1,312,2
24,6.9,7.6,99,1.6
27,7.3,8,230,1.6
26,6.8,8.1,264,2.6
25,7.2,8.1,272,3.1
28,8,8.3,312,1.4
29,8.2,8,19595,2
26,7,8,199,1.8
28,7.2,8.1,201,1.6
31,6.8,7.8,505,2.1
25,6.5,7.9,11170,3
25,6.9,7.4,4990,3
25,6.8,8.1,1516, 
26,6,7.3,44600, 
27,6.8,7.5,890,2.1
23,7.3,7.6,160,1.9
25,7,7.7,111,2.2
26,6.7,7.7,139,3.1
29,7.2,7.2,288,2.1
24,7,7.1,95,1.9
24,7,7.5,84,1.7
29,7.4,7,3101,15.6
29,7.2,7.3,510,2.9
24,7.1,7.4,88,1.8
29,7.2,6.9,338,3.8
26,6.7,7.6,162,3.3
27,6.7,7.6,182,4.1
32,0.2,7.2,2219,185.8
 ,6.8,8,414,3.1
21,5.5,7.4,635,8.8
24,5.5,7.4,1051,25
21,5.3,7.3,636,9.9
24,5.1,7.4,993,21.9
21,5.3,7.5,632,13.5
18,4.9,7.4,973,17.5
22,4.3,7.5,1156,24.5
22,4.8,7.4,904,26
21,5.1,7.4,1110,16
24,5.3,7.4,1290,26.9
22,4.9,7.4,990,27.8
22,5.2,7.4,914,20.5
 ,6.4,7.9,1808,21
 ,6.6,7.8,1302,18
 ,6.4,8,1286,19.5
33,4.8,7.5,280,2.4
20,7.7,7.4,344,1.2
20,7.3,7,310,1.4
20,7.1,7.7,303,1.5
20,3.3,7.5,1630,185
18,6.2,7.5,788,41.5
24,6,8.3,468,1.4
19,5.9,7.3,234,1.5
23,6.4,8,527,1.2
24,5.9,7.9,796,1.5
23,7.3,7.4,388,2.1
28,8.5,7.5,166,2.7
29,8.9,7,125,1.9
30,8,7.8,144,2.1
30,7.5,7.7,87,1.2
28,8.5,7.6,84,2
29,8.4,7.5,103,1.9
30,8.7,7.2,117,3.2
29,6.5,7.7,287,8.2
28,8.6,7.5,130,4.6
28,8.9,7.5,109,1.2
30,9.8,8.4,246,1.2
28,7.6,7.5,147,1.3
29,8.7,7.6,202,1.2
28,8.4,7.4,177,2.4
29,8.7,7.6,203,2.5
32,8.2,7.4,120,1.9
32,8,7.2,110,1.4
30,8.4,7.6,213,1.5
29,9.4,7.8,174,1
31,8.1,8,244,2.4
29,8.1,8,162,1.8
30,8.7,7.6,163,2.6
29,8.7,7.6,143,1.9
30,9.2,7.6,208,1.9
29,8.3,7.7,158,2
29,5.9,7.1,338,6.6
30,4.3,7.4,269,12.3
29,8.2,7.1,109,3.3
28,11.1,7.6,131,3.6
29,7.4,7.1,116,2.7
28,8.2,7.6,112,2.1
29,8.5,7.5,169,3.6
28,11.4,7.2,128,1
29,8.9,7.6,221,1.7
30,9.3,7.6,193,2.3
28,9.1,7.3,217,3.9
28,7.9,7.3,131,0.8
29,8.7,7.4,176,2.2
30,8.1,7.3,199,2.2
30,8.2,7.4,170,2.2
25,7.7,7.2,95,1.8
25,7.6,7.2,92,2.5
25,9.9,7.2,65,1.5
24,7.6,7.4,93,2.1
22,5.5,2.9,568,6.8
16,7.6,7,42,1.3
17,7.7,7.1,45,1.4
23,8.3,7,59,1.7
25,6.9,2.6,1072,3.2
25,7.7,6.3,250,2.1
25,8.8,7.3,37,1.5
25,7.3,7.3,72,2
20,7.5,7,38,1.7
22,7.8,7.1,44,1.6
20,7,7,100,2.4
21,7.5,6.3,52,1.7
16,6.4,6.9,61,2.6
17,7.5,7.1,39,1.4
17,8,7.1,41,1.4
24,7.9,7.3,93,1.7
18,7.5,6.9,69,1.9
18,7.9,7.2,46,1.7
18,8,7.2,42,1.4
25,7.7,7.1,101,1.5
19,7.2,7.1,49,1.6
21,8.2,7.1,49,1.2
21,7.8,7.1,58,1.5
18,3.9,7.1,235,16.9
18,4.9,7.1,182,14.2
19,2.7,7.1,281,35.4
19,2.5,7.1,382,37.2
18,8,7,48,1.4
24,8.4,7.1,48,1.2
17,6.8,6.6,49,1.9
18,2.1,7,286,45.6
19,4,7.1,194,22.4
24,7.7,7.2,107,6.6
22,7.6,7.1,51,2
20,7.7,7.1,46,1.6
20,7.7,7.1,49,1.9
24,6.5,7.4,297,1
24,6.3,7.5,287,0.9
24,6.5,7.2,375,1.1
24,6.9,6.9,349,1.1
28,6.6,7.8,165,1.6
28,6.4,8,155,3.9
27,6.5,8,168,4.2
29.1,6.7,7.7,218,5
27,4.2,7.9,4909,18
28.1,4.6,8,23576,158.8
29.1,4.8,7.8,65700,164
27.7,6.7,8.5,235,NAN
27.1,6.7,8.3,262,NAN
27.1,6.8,7.8,227,NAN
27.3,6.8,8.5,249,NAN
27,4.2,8.2,2754,42
27.6,7.1,7.3,212,1.4
28.2,5,8.3,12771,4.1
28,6.7,8,304,1.5
28.5,5.8,7.7,1315,2.5
29.5,5.9,7.6,36593,3.9
27,7.6,7.7,1291,10
29.5,6,7.7,18865,3.6
27,4.3,8.4,605,6.5
26.7,3.7,8.2,600,4.3
27,4.6,7.2,729,4
26.8,6.2,8.4,2670,1.3
28.7,6.8,6.5,43,1.1
29.3,6.6,7,59,1.1
28.8,6,6.2,106,1.5
28.3,5.9,6.6,516,1.1
25.8,7.3,6.1,87,0.9
28.3,7.3,5.9,74,1.5
27.8,6.7,6.3,127,2
26,6.8,6.2,226,1.6
27.8,7.1,5.9,93,1.8
26.3,7.4,6.2,76,1.3
25.7,7.3,6.2,113,1.2
29,7.3,5.9,100,1.3
26.9,6,5.9,273,1.8
27,6.1,6.5,201,2
27.5,6.2,6.3,245,1.8
28.3,7,6.5,75,0.9
29,7.3,6,74,1.6
28.2,7.1,7.9,108,3.3
NAN,7.1,7.7,111,4.4
27.4,7,8,129,3.5
27.3,7,8,130,3.3
